model,accuracy,precision,recall,f1,f2,mcc
RF,0.8627090983272134,0.8716988727858294,0.85,0.8504954459013112,0.847708481364253,0.7205834865241897
SVM,0.9357405140758874,0.9352884615384616,0.93,0.930317572335921,0.9295616883116884,0.8635893984362144
LGB,0.9146141215106732,0.9201666666666667,0.92,0.9197023563455974,0.919790569020021,0.8354243060921998
LR,0.9523809523809523,0.9625806451612903,0.96,0.9596666666666667,0.959487484314114,0.9199946570338408
RF,0.8875205254515599,0.9041666666666666,0.9,0.8986128625472887,0.8986486486486487,0.7969335501652227
SVM,0.9285714285714286,0.945625,0.94,0.9391677175283732,0.9388314785373609,0.8813544770895048
LGB,0.921474358974359,0.9229487179487179,0.92,0.92,0.9196465163934426,0.842948717948718
LR,0.9711538461538461,0.9717647058823529,0.97,0.97000900090009,0.9697939184320507,0.9417419115948374
RF,0.922275641025641,0.9264734299516908,0.92,0.9199039615846338,0.9191665066256962,0.8465888031839128
SVM,0.9230769230769231,0.9314285714285714,0.92,0.9197435897435898,0.9184843830005122,0.8516306272526402
LGB,0.9472624798711755,0.95140758873929,0.95,0.949832979046462,0.9497264849687757,0.9005267193794991
